event_id,timestamp,domain,severity,impact_type,confidence_score,summary
8c587d18-a562-41e8-944a-033e000943e7,2025-12-05T02:41:43.482800,economical,medium,risk,0.05,"Sri Lanka Economy (Technology): COLOMBO (News 1st); President Anura Kumara Dissanayake announced his government’s commitment to transforming Sri Lanka’s armed forces into a modern, technologically adv… See more"
fb43bbb9-f6e0-48ff-a20f-f22c8c613df3,2025-12-05T02:41:44.076131,meteorological,medium,risk,0.05,"Sri Lanka Weather: මේ වෙලාවේ හැමෝටම මතක් වෙන මනුස්සයා පාලිත තෙවරප්පෙරුම ❤️
#PrayForSriLanka #SriLanka #FloodRelief #StaySafeSL #SriLankaWeather DisasterRelief WeAreWithYou"
991aa435-98e1-4944-bc74-efb298843c53,2025-12-05T02:41:44.613248,meteorological,medium,risk,0.05,"Sri Lanka Weather: Flood update from Welikanda
Streets and paddy fields are submerged after heavy rains. Farmers and communities are affected.
Stay safe and look out for one another. 

Thank you Sharala for the update f"
cee62ee0-f532-49d8-b047-a15fbbe7a68a,2025-12-05T02:41:45.086193,meteorological,medium,risk,0.05,"Sri Lanka Weather: The Embassy of Qatar in Sri Lanka urges all Qatari citizens and visitors to remain extremely cautious amid ongoing severe weather. Heavy rainfall, flooding, and landslides continue to affect several r"
7a71ae34-d481-47ef-b01a-8299579d88f3,2025-12-05T02:41:45.562231,meteorological,medium,risk,0.05,"Sri Lanka Weather: ♥️ Update from Sri Lanka for our travellers:
All AVG Travels’ groups currently in Sri Lanka are safe and continuing their itineraries as normal. The weather is good, and our on-ground team is monitori"
da9d96cd-9ab0-446c-96c2-40dde38ce507,2025-12-05T02:41:46.095438,meteorological,medium,risk,0.05,"Sri Lanka Meteorological Summary: **Executive Summary**

Sri Lanka is experiencing a severe weather event marked by heavy rainfall, widespread flooding, and landslides across at least three districts. Official weather bulletins confirm persistent downpours, while field reports from Welikanda detail submerged streets and paddy fields"
79135ccf-47c3-4473-8682-c9b90468a6f3,2025-12-05T02:41:46.626345,political,medium,risk,0.05,"Jaffna Political: Brahminy Kite - Jaffna, Sri Lanka- 2025"
5acc6d40-883a-4e33-a5b8-36b6e396b0ba,2025-12-05T02:41:47.172100,political,medium,risk,0.05,"Jaffna Political: Keerimalai Naguleswaram Temple – Jaffna, Sri Lanka
L… See more"
6d831d9a-ba4c-4f6b-b1f7-16468e3a4b19,2025-12-05T03:00:59.800650,political,high,risk,0.15,"Gampaha Political: Opposition Leader Sajith Premadasa's visit to India marks a turning point in Sri Lanka’s political and economic diplomacy. 🇮🇳🇱🇰

Meeting with India’s External Affairs Minister Dr. S. Jaishankar, Finan"
20ffe44a-db03-42a2-ab43-2a4132492dc4,2025-12-05T03:01:00.377754,political,high,risk,0.15,Sri Lanka Political: Sri Lanka’s political landscape is witnessing fresh turmoil as former President Ranil Wickremesinghe has been arrested and denied bail in a high-profile case involving alleged misuse of state funds du
01d100c6-b907-4159-97cb-7a1e40c0c578,2025-12-05T03:01:01.012546,political,high,risk,0.15,"Sri Lanka Political: Former President Ranil Wickremesinghe has been arrested by the Criminal Investigation Department (CID) over allegations of misusing state funds during his presidency from 2022 to 2024.

The charges st"
cb82b2a8-79fa-412e-904a-8421244cf685,2025-12-05T03:01:01.629139,meteorological,medium,risk,0.05,"Sri Lanka Weather: 🌴✨ Wondering when to visit Sri Lanka? Here the best guide for the best time to visit Sri Lanka.
.
.
.
.
To Book Sri Lanka Tour Packages, contact -9667064818
.
.
.
.
Sri Lanka Travel guide, best time t"
d8677216-0f0a-410e-bf50-bbfa13df1283,2025-12-05T03:01:02.346939,meteorological,medium,risk,0.05,"Sri Lanka Weather: 𝐒𝐫𝐢 𝐋𝐚𝐧𝐤𝐚 𝐂𝐫𝐢𝐜𝐤𝐞𝐭 𝐃𝐨𝐧𝐚𝐭𝐞𝐬 𝐑𝐬. 𝟑𝟎𝟎 𝐌𝐢𝐥𝐥𝐢𝐨𝐧 𝐭𝐨 𝐭𝐡𝐞 ‘𝐑𝐞𝐛𝐮𝐢𝐥𝐝𝐢𝐧𝐠 𝐒𝐫𝐢 𝐋𝐚𝐧𝐤𝐚’ 𝐅𝐮𝐧𝐝
Sri Lanka Cricket (SLC), under the direction of President Mr. Shammi Silva and the Executive Committee, have decided to don"
e635b4f7-f30e-4dc9-82c4-36617d4a51da,2025-12-05T03:01:02.955286,political,medium,risk,0.05,Jaffna Political: Now it's time to explore Jaffna #VisitJaffna #visitsrilanka
bb5c6f30-d012-4b66-8573-bde832c102e7,2025-12-05T03:01:03.589663,political,medium,risk,0.05,"Jaffna Political: Swami's Birthday Celebrations 40 Years ago at Nallur Sai Illam (Jaffna, Sri Lanka)!… See more"
9c9026ec-b1ee-4c78-89d5-d6f071fdf461,2025-12-05T03:01:04.264103,political,medium,risk,0.05,Jaffna Political: Now it's time to explore Jaffna #VisitJaffna #visitsrilanka
d848fd20-bcf3-4669-9d53-5be86ec7abf3,2025-12-05T03:01:04.924828,political,medium,risk,0.05,"Puttalam Political: Evacuation operations are underway in Mahawa, Kurunegala, and Eluwankulam, Puttalam after severe flooding affected several communities this morning. The Sri Lanka Navy has deployed multiple relief tea"
494f9f08-20da-47c7-96e1-a7b03c132358,2025-12-05T03:01:05.536181,political,medium,risk,0.05,"Puttalam Political: Evacuations underway amidst Mahawa and Eluwankulam floods The Sri Lanka Navy deployed relief teams to evacuate residents affected by severe flooding in Mahawa, Kurunegala and Eluwankulam, Puttalam. Th"
9d2d8d31-b333-46e2-be47-4bfaa07b5626,2025-12-05T03:01:06.136533,political,medium,risk,0.05,"Colombo Political: Sri Lanka’s 2024 Census records a population of 21,763,170. Colombo and Gampaha exceed 2 million residents, while Kurunegala, Kandy, Kalutara, Ratnapura and Galle each top 1 million."
7934f8d0-9408-4411-9c35-1071987a7236,2025-12-05T03:01:06.684125,political,medium,risk,0.05,"Kurunegala Political: #MASJID #SRILANKA 023. MASJID AL JAMIUL AZHAR/ KURUNEGALA GRAND MASJID Kurunegala, Kurunegala, Sri Lanka Berdiri tahun 1923 Kapasitas - jamaah ."
eec74ba9-fb6a-4770-842c-a7b766b3bc4f,2025-12-05T03:01:07.403890,political,medium,risk,0.05,"Kurunegala Political: #MASJID #SRILANKA 024. MASJID AL HUDA OTTUKULAMA Galgamuwa, Kurunegala, Sri Lanka Berdiri tahun 2006 Kapasitas - jamaah ."
20a01a13-1b6d-4512-8e6e-7ad6e8bb1d4a,2025-12-05T03:01:08.072322,political,medium,risk,0.05,"Sri Lanka Political: Dry Food Distribution for Cyclone Ditwa–Affected Families
Date: 03 December 2025… See more"
e7e29671-6e11-4cbe-8f0d-fe7ab12f613c,2025-12-05T03:01:08.691320,political,medium,risk,0.05,"Sri Lanka Political Summary: **Executive Summary**

Sri Lanka’s political scene is marked by two headline‑making events. Opposition leader Sajith Premadasa’s recent visit to India underscores a strategic pivot toward deeper regional ties, highlighted by India’s $4.2 billion lifeline and proposals for parliamentary, energy, and "
